epoch,lr,train_loss,train_acc1,val_loss,val_acc1,val_macro_f1,val_micro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_macro_auc,val_gate_global_mean
11,0.0004951554951135909,0.6199572238037347,0.9261083743842364,1.5804275835261625,0.7230392156862745,0.7046743134532427,0.7230392156862745,0.7194081489534363,0.7433261677093831,0.7248789907583258,0.9658007920457249,0.11988411843776703
12,0.0004934040105223691,0.6068161469179225,0.9382594417077176,1.510583015049205,0.7634803921568627,0.745146586266651,0.7634803921568627,0.7617519284969444,0.7685602655923646,0.7627911332838729,0.9735384868718017,0.12000693380832672
13,0.0004913869139619221,0.5992325848155029,0.9366174055829228,1.4383963790594363,0.8002450980392157,0.7846809184452058,0.8002450980392157,0.7989444230770781,0.8055591660157342,0.7987448188712157,0.9787691417282431,0.1201743334531784
14,0.000489106411097723,0.6058069047473725,0.9356321839080459,1.3646264169730393,0.8308823529411765,0.817680626341763,0.8308823529411765,0.8299254589068998,0.835232818330956,0.8280275870821788,0.9823812343427332,0.12037584185600281
15,0.00048656499562617275,0.584554669716088,0.9428571428571428,1.292706655521019,0.8468137254901961,0.8343842230686145,0.8468137254901961,0.8462212320375679,0.8522436084004357,0.8419403179483502,0.9850729153296814,0.12062768638134003
16,0.0004837654465477773,0.5919672454127733,0.9402298850574713,1.2234850093430163,0.8615196078431373,0.8475482128514507,0.8615196078431373,0.8611333146546681,0.8638644693373484,0.8534217241665986,0.9872095245349717,0.12096180766820908
17,0.0004807108251283505,0.5776919166051304,0.9495894909688013,1.1576735529245115,0.8700980392156863,0.8566504476609326,0.8700980392156863,0.8696314743221865,0.8723717294907714,0.8616581802045903,0.9888229295154299,0.12138044834136963
18,0.00047740447155156723,0.5805911003270956,0.944991789819376,1.0959173440933228,0.8774509803921569,0.8636093529429179,0.8774509803921569,0.8767214809648644,0.878398803765734,0.8671803136337005,0.9901578585693693,0.1218160018324852
19,0.00047385000126651976,0.5655266412471119,0.9510673234811166,1.0375156788265003,0.883578431372549,0.8705228350504598,0.883578431372549,0.8831942358308462,0.8845548381283209,0.8739425318008537,0.9912538533803398,0.122225821018219
20,0.0004700513010342797,0.5523542316872107,0.9594417077175698,0.9813178555638182,0.8946078431372549,0.8812062623335705,0.8946078431372549,0.8941887381335633,0.8959813080378275,0.883986141652605,0.9921255229878937,0.1226065382361412
21,0.000466012524677778,0.5731831718743924,0.9490968801313628,0.9285541609221813,0.9068627450980392,0.8921596999788831,0.9068627450980392,0.9068582525782964,0.9064625228360278,0.8936060886219496,0.9927618550344418,0.12297895550727844
22,0.00046173808853966437,0.5365149783774942,0.9650246305418719,0.881080778206096,0.9117647058823529,0.8964198194406124,0.9117647058823529,0.9114502410428996,0.9110280298017853,0.8967991151278595,0.9933527688500049,0.12329842150211334
23,0.00045723266665309906,0.5383082739042335,0.9630541871921182,0.8379247340501523,0.9166666666666666,0.90209742307993,0.9166666666666666,0.9162408239686686,0.9171594148111046,0.9011495580916515,0.9938743009822872,0.12362745404243469
24,0.00045250118563076684,0.5602786670764679,0.9568144499178982,0.8000069424217823,0.9227941176470589,0.9092740361034692,0.9227941176470589,0.9224637218703128,0.9240212153433714,0.9078416125852419,0.9942744538642947,0.12387227267026901
25,0.0004475488192776991,0.5242697956722554,0.9679802955665024,0.764492857689951,0.9215686274509803,0.9080472977413846,0.9215686274509803,0.9210705534828812,0.9232555815429562,0.9063990526971495,0.9945031057317804,0.12417243421077728
26,0.0004423809829337926,0.5394510239509526,0.964696223316913,0.7326806760301777,0.9203431372549019,0.9064413464378757,0.9203431372549019,0.9196533969126447,0.9223534999641404,0.9046778823012803,0.9946713248476479,0.12438920140266418
27,0.0004370033275522161,0.5278617867108049,0.9689655172413794,0.7029350131165748,0.9203431372549019,0.9061108428363519,0.9203431372549019,0.9197367031954231,0.9210958489948008,0.9045736588841734,0.9947943986118332,0.12458158284425735
28,0.00043142173352017524,0.5201746323817273,0.9706075533661741,0.675469792356678,0.9227941176470589,0.9085272957398322,0.9227941176470589,0.9221199569686162,0.9228989051211077,0.9070069892244804,0.9949075846787186,0.12478712201118469
