run,experiment,seed,perturbation,group,macro_f1,clean_contract,device
R1_s2026,R1,2026,contrast_high,brightness/contrast,0.9299482734553486,exact,cuda
R1_s2026,R1,2026,saturation_low,saturation,0.9274293842102728,exact,cuda
R1_s2026,R1,2026,saturation_high,saturation,0.9328316670776428,exact,cuda
R1_s2026,R1,2026,hue_pos,hue shift,0.887755571901326,exact,cuda
R1_s2026,R1,2026,hue_neg,hue shift,0.8861702626478776,exact,cuda
R1_s2026,R1,2026,noise_light,gaussian noise,0.8830525077963319,exact,cuda
R1_s2026,R1,2026,noise_heavy,gaussian noise,0.2560448222061844,exact,cuda
R1_s2026,R1,2026,blur_light,blur,0.8573775174922077,exact,cuda
R1_s2026,R1,2026,blur_heavy,blur,0.3795697798143529,exact,cuda
R1_s2026,R1,2026,jpeg_q60,jpeg compression,0.8341763119372365,exact,cuda
R1_s2026,R1,2026,jpeg_q30,jpeg compression,0.7256497397936241,exact,cuda
R1_s2026,R1,2026,shadow_left,shadow,0.9382580750435332,exact,cuda
R1_s2026,R1,2026,shadow_right,shadow,0.9402627625852444,exact,cuda
R1_s2026,R1,2026,wb_warm,white balance,0.9202378974805124,exact,cuda
R1_s2026,R1,2026,wb_cool,white balance,0.9236573726631498,exact,cuda
R2_s2026,R2,2026,unperturbed,unperturbed,0.9466009779899112,exact,cuda
R2_s2026,R2,2026,brightness_up,brightness/contrast,0.9402162820775872,exact,cuda
R2_s2026,R2,2026,brightness_down,brightness/contrast,0.8968057282761885,exact,cuda
R2_s2026,R2,2026,contrast_low,brightness/contrast,0.9440552251014216,exact,cuda
R2_s2026,R2,2026,contrast_high,brightness/contrast,0.9371448978208043,exact,cuda
R2_s2026,R2,2026,saturation_low,saturation,0.9361168502349102,exact,cuda
R2_s2026,R2,2026,saturation_high,saturation,0.9443309833961212,exact,cuda
R2_s2026,R2,2026,hue_pos,hue shift,0.8889512909055116,exact,cuda
R2_s2026,R2,2026,hue_neg,hue shift,0.8825337431078123,exact,cuda
R2_s2026,R2,2026,noise_light,gaussian noise,0.8726553982439407,exact,cuda
R2_s2026,R2,2026,noise_heavy,gaussian noise,0.3885460649444714,exact,cuda
R2_s2026,R2,2026,blur_light,blur,0.8573745575481138,exact,cuda
R2_s2026,R2,2026,blur_heavy,blur,0.4558247405373237,exact,cuda
R2_s2026,R2,2026,jpeg_q60,jpeg compression,0.8308512187342332,exact,cuda
R2_s2026,R2,2026,jpeg_q30,jpeg compression,0.7558626505776688,exact,cuda
R2_s2026,R2,2026,shadow_left,shadow,0.9466009779899112,exact,cuda
R2_s2026,R2,2026,shadow_right,shadow,0.9401400108480608,exact,cuda
R2_s2026,R2,2026,wb_warm,white balance,0.935018212964118,exact,cuda
R2_s2026,R2,2026,wb_cool,white balance,0.9198162055272164,exact,cuda
R3_s2026,R3,2026,unperturbed,unperturbed,0.9435007146407364,exact,cuda
R3_s2026,R3,2026,brightness_up,brightness/contrast,0.9386043916185774,exact,cuda
R3_s2026,R3,2026,brightness_down,brightness/contrast,0.8963797835483919,exact,cuda
R3_s2026,R3,2026,contrast_low,brightness/contrast,0.9372916865871496,exact,cuda
R3_s2026,R3,2026,contrast_high,brightness/contrast,0.9371378212995236,exact,cuda
R3_s2026,R3,2026,saturation_low,saturation,0.93317420859173,exact,cuda
R3_s2026,R3,2026,saturation_high,saturation,0.9442461798041896,exact,cuda
R3_s2026,R3,2026,hue_pos,hue shift,0.895842285647018,exact,cuda
R3_s2026,R3,2026,hue_neg,hue shift,0.8744520854169894,exact,cuda
R3_s2026,R3,2026,noise_light,gaussian noise,0.8709524709147233,exact,cuda
R3_s2026,R3,2026,noise_heavy,gaussian noise,0.2581488692215474,exact,cuda
R3_s2026,R3,2026,blur_light,blur,0.8815073389125819,exact,cuda
R3_s2026,R3,2026,blur_heavy,blur,0.4226603344500657,exact,cuda
R3_s2026,R3,2026,jpeg_q60,jpeg compression,0.8343331225794042,exact,cuda
R3_s2026,R3,2026,jpeg_q30,jpeg compression,0.7441942621522007,exact,cuda
R3_s2026,R3,2026,shadow_left,shadow,0.9407590448868128,exact,cuda
R3_s2026,R3,2026,shadow_right,shadow,0.9380343823947292,exact,cuda
R3_s2026,R3,2026,wb_warm,white balance,0.9279014330119392,exact,cuda
R3_s2026,R3,2026,wb_cool,white balance,0.9181193185380826,exact,cuda
C1_s2026,C1,2026,unperturbed,unperturbed,0.9502534294950886,tie_flip:1,cuda
C1_s2026,C1,2026,brightness_up,brightness/contrast,0.9512558621294874,tie_flip:1,cuda
C1_s2026,C1,2026,brightness_down,brightness/contrast,0.9237051716965178,tie_flip:1,cuda
C1_s2026,C1,2026,contrast_low,brightness/contrast,0.947349853195666,tie_flip:1,cuda
C1_s2026,C1,2026,contrast_high,brightness/contrast,0.9469558898152888,tie_flip:1,cuda
C1_s2026,C1,2026,saturation_low,saturation,0.9596252366094228,tie_flip:1,cuda
C1_s2026,C1,2026,saturation_high,saturation,0.9522485519269808,tie_flip:1,cuda
C1_s2026,C1,2026,hue_pos,hue shift,0.929766990689624,tie_flip:1,cuda
C1_s2026,C1,2026,hue_neg,hue shift,0.9264603064185716,tie_flip:1,cuda
C1_s2026,C1,2026,noise_light,gaussian noise,0.9266315104406276,tie_flip:1,cuda
C1_s2026,C1,2026,noise_heavy,gaussian noise,0.816266002519204,tie_flip:1,cuda
C1_s2026,C1,2026,blur_light,blur,0.9075686818522508,tie_flip:1,cuda
C1_s2026,C1,2026,blur_heavy,blur,0.7350840748857325,tie_flip:1,cuda
C1_s2026,C1,2026,jpeg_q60,jpeg compression,0.8914576518551296,tie_flip:1,cuda
C1_s2026,C1,2026,jpeg_q30,jpeg compression,0.8247638546274633,tie_flip:1,cuda
C1_s2026,C1,2026,shadow_left,shadow,0.9565292386455256,tie_flip:1,cuda
C1_s2026,C1,2026,shadow_right,shadow,0.9561150141541048,tie_flip:1,cuda
C1_s2026,C1,2026,wb_warm,white balance,0.9497069363029071,tie_flip:1,cuda
C1_s2026,C1,2026,wb_cool,white balance,0.9503266023097504,tie_flip:1,cuda
TLA_s2026,TLA,2026,unperturbed,unperturbed,0.9433821242220944,exact,cuda
TLA_s2026,TLA,2026,brightness_up,brightness/contrast,0.9423436582135716,exact,cuda
TLA_s2026,TLA,2026,brightness_down,brightness/contrast,0.9197142098622962,exact,cuda
TLA_s2026,TLA,2026,contrast_low,brightness/contrast,0.942679199143314,exact,cuda
TLA_s2026,TLA,2026,contrast_high,brightness/contrast,0.9393266699791344,exact,cuda
TLA_s2026,TLA,2026,saturation_low,saturation,0.9438535279244156,exact,cuda
TLA_s2026,TLA,2026,saturation_high,saturation,0.9398350004799444,exact,cuda
TLA_s2026,TLA,2026,hue_pos,hue shift,0.926622057773258,exact,cuda
TLA_s2026,TLA,2026,hue_neg,hue shift,0.898252345447017,exact,cuda
TLA_s2026,TLA,2026,noise_light,gaussian noise,0.9184960470908256,exact,cuda
TLA_s2026,TLA,2026,noise_heavy,gaussian noise,0.8023300348435262,exact,cuda
TLA_s2026,TLA,2026,blur_light,blur,0.8985474841979803,exact,cuda
TLA_s2026,TLA,2026,blur_heavy,blur,0.7312806313875667,exact,cuda
TLA_s2026,TLA,2026,jpeg_q60,jpeg compression,0.8945978639947639,exact,cuda
TLA_s2026,TLA,2026,jpeg_q30,jpeg compression,0.8457079891674972,exact,cuda
TLA_s2026,TLA,2026,shadow_left,shadow,0.9428163506595072,exact,cuda
TLA_s2026,TLA,2026,shadow_right,shadow,0.9495690258871526,exact,cuda
TLA_s2026,TLA,2026,wb_warm,white balance,0.945196524338126,exact,cuda
TLA_s2026,TLA,2026,wb_cool,white balance,0.9363813604272564,exact,cuda
C2_s2026,C2,2026,unperturbed,unperturbed,0.9449097502951348,exact,cuda
C2_s2026,C2,2026,brightness_up,brightness/contrast,0.94880893129206,exact,cuda
C2_s2026,C2,2026,brightness_down,brightness/contrast,0.9180403290294316,exact,cuda
C2_s2026,C2,2026,contrast_low,brightness/contrast,0.946412654313646,exact,cuda
C2_s2026,C2,2026,contrast_high,brightness/contrast,0.935669244134168,exact,cuda
C2_s2026,C2,2026,saturation_low,saturation,0.9496425071883062,exact,cuda
C2_s2026,C2,2026,saturation_high,saturation,0.945401305687375,exact,cuda
C2_s2026,C2,2026,hue_pos,hue shift,0.92145617202325,exact,cuda
C2_s2026,C2,2026,hue_neg,hue shift,0.9009344338588696,exact,cuda
C2_s2026,C2,2026,noise_light,gaussian noise,0.9188012353803744,exact,cuda
C2_s2026,C2,2026,noise_heavy,gaussian noise,0.8011680044748142,exact,cuda
C2_s2026,C2,2026,blur_light,blur,0.909338433509692,exact,cuda
C2_s2026,C2,2026,blur_heavy,blur,0.713348316201152,exact,cuda
C2_s2026,C2,2026,jpeg_q60,jpeg compression,0.8860482628341849,exact,cuda
C2_s2026,C2,2026,jpeg_q30,jpeg compression,0.8309312699538091,exact,cuda
C2_s2026,C2,2026,shadow_left,shadow,0.9443978714642656,exact,cuda
C2_s2026,C2,2026,shadow_right,shadow,0.9465746183732124,exact,cuda
C2_s2026,C2,2026,wb_warm,white balance,0.9387820979600164,exact,cuda
C2_s2026,C2,2026,wb_cool,white balance,0.947492862956687,exact,cuda
C4_s2026,C4,2026,unperturbed,unperturbed,0.9489382190153652,exact,cuda
C4_s2026,C4,2026,brightness_up,brightness/contrast,0.9470442951496562,exact,cuda
C4_s2026,C4,2026,brightness_down,brightness/contrast,0.9146970221925264,exact,cuda
C4_s2026,C4,2026,contrast_low,brightness/contrast,0.9452936290202478,exact,cuda
C4_s2026,C4,2026,contrast_high,brightness/contrast,0.9446124898044922,exact,cuda
C4_s2026,C4,2026,saturation_low,saturation,0.9403603130115687,exact,cuda
C4_s2026,C4,2026,saturation_high,saturation,0.9449132852588208,exact,cuda
C4_s2026,C4,2026,hue_pos,hue shift,0.9204765199270006,exact,cuda
C4_s2026,C4,2026,hue_neg,hue shift,0.8848611734714116,exact,cuda
C4_s2026,C4,2026,noise_light,gaussian noise,0.8973474941001545,exact,cuda
C4_s2026,C4,2026,noise_heavy,gaussian noise,0.7772443520624949,exact,cuda
C4_s2026,C4,2026,blur_light,blur,0.8924095408180739,exact,cuda
C4_s2026,C4,2026,blur_heavy,blur,0.7120598012553445,exact,cuda
C4_s2026,C4,2026,jpeg_q60,jpeg compression,0.8672207202964247,exact,cuda
C4_s2026,C4,2026,jpeg_q30,jpeg compression,0.802033729913971,exact,cuda
C4_s2026,C4,2026,shadow_left,shadow,0.943472703175376,exact,cuda
C4_s2026,C4,2026,shadow_right,shadow,0.9461255764149584,exact,cuda
C4_s2026,C4,2026,wb_warm,white balance,0.9392286552660856,exact,cuda
C4_s2026,C4,2026,wb_cool,white balance,0.9433629212087796,exact,cuda
R0_s42,R0,42,unperturbed,unperturbed,0.9470599394649716,,
R0_s42,R0,42,brightness_up,brightness/contrast,0.9417087907552208,,
R0_s42,R0,42,brightness_down,brightness/contrast,0.897107369284842,,
R0_s42,R0,42,contrast_low,brightness/contrast,0.9444356603370344,,
R0_s42,R0,42,contrast_high,brightness/contrast,0.9430190872821764,,
R0_s42,R0,42,saturation_low,saturation,0.9263433600182394,,
R0_s42,R0,42,saturation_high,saturation,0.944004679000031,,
R0_s42,R0,42,hue_pos,hue shift,0.8911405783157853,,
R0_s42,R0,42,hue_neg,hue shift,0.8912125579190983,,
R0_s42,R0,42,noise_light,gaussian noise,0.901141732186802,,
R0_s42,R0,42,noise_heavy,gaussian noise,0.5037479907068919,,
R0_s42,R0,42,blur_light,blur,0.8715026175700055,,
R0_s42,R0,42,blur_heavy,blur,0.4673682419896338,,
R0_s42,R0,42,jpeg_q60,jpeg compression,0.861688687635714,,
R0_s42,R0,42,jpeg_q30,jpeg compression,0.7842771594075166,,
R0_s42,R0,42,shadow_left,shadow,0.9415514498041564,,
R0_s42,R0,42,shadow_right,shadow,0.9407268092756838,,
R0_s42,R0,42,wb_warm,white balance,0.9353705945494498,,
R0_s42,R0,42,wb_cool,white balance,0.9188961780072014,,
R1_s42,R1,42,unperturbed,unperturbed,0.9390281967688576,,
R1_s42,R1,42,brightness_up,brightness/contrast,0.9336667303494312,,
R1_s42,R1,42,brightness_down,brightness/contrast,0.9152607520890172,,
